Location,Cu,Pb,Zn,Cd,Hg,Cu_ND,Pb_ND,Zn_ND,Cd_ND,Hg_ND
IN1,19.16,30.19,90.56,3.08,,False,False,False,False,True
IN2,17.03,30.1,91.51,3.09,,False,False,False,False,True
IN3,17.16,34.54,90.44,2.87,,False,False,False,False,True
IN4,8.12,13.21,92.06,1.2,,False,False,False,False,True
IN5,7.88,13.65,85.66,1.17,,False,False,False,False,True
IN6,7.75,13.65,92.96,1.2,,False,False,False,False,True
IN7,5.69,55.89,120.67,,,False,False,False,True,True
IN8,5.54,59.88,121.79,,,False,False,False,True,True
IN9,5.51,58.45,127.32,,,False,False,False,True,True
IN10,19.08,10.8,220.43,,,False,False,False,True,True
IN11,19.24,10.94,219.53,0.03,,False,False,False,False,True
IN12,19.49,10.69,217.09,,,False,False,False,True,True
